uservip_degree,timestamp,content,opername,upcount
3,225,徐律!啊啊啊啊,,0
0,225,不想当老板的爱豆不是好演员,52HZ,0
0,225,看着真没有文化,刘芮煊,0
5,225,哈哈哈哈哈哈穿的好！！！,,4
3,225,哈哈哈哈他一站起来我爆笑哈哈哈哈,,0
0,225,双北果然开心,ten,0
0,225,不想当老板的爱豆不是好演员,Stars、,0
4,225,站起来，我笑了,,0
0,225,肿裁哈哈哈哈哈,,2
1,225,哈哈哈哈哈哈哈哈哈,,0
3,225,哈哈哈哈哈 以为是件普通西装,兰花.,0
0,225,这个衣服有点🆒,shine!☆☆☆,1
0,225,不愧是我山东人，总是想着当领导，,咕咕咕咕咕嗝…,0
1,225,这一季的嘉宾都太让人喜欢了😘,Snail . r 🗝,3
4,225,坐着的时候范泽言站起来秒变福西西哈哈哈哈哈,温妤妤🍊,1
0,225,看着真没有文化,AM,0
4,225,哈哈哈哈哈 以为是件普通西装,,0
0,225,哈哈哈哈,卤鱼丸最好吃,0
0,225,哈哈哈哈哈 以为是件普通西装,遇见未知的自己,0
1,225,哈哈哈丞丞一开口就老搞笑了,,0
3,225,看着真没有文化,,0
5,225,哈哈哈哈哈丞丞笑死我了,,0
0,225,哈哈哈哈哈范丞丞你不要把福西西带过来,将离.,0
0,225,哈哈哈哈哈丞丞笑死我了,Lilyan💜,0
0,225,令人颓废的offer,Fever,0
0,225,不想当老板的爱豆不是好演员,邝榕🤔,0
0,225,不想当老板的爱豆不是好演员,Crush-,0
5,225,范丞丞好可爱啊,,0
0,225,优秀了范丞丞,,0
0,225,看着真没有文化,万物可解,0
0,225,哈哈哈哈他一站起来我爆笑哈哈哈哈,Devon Aoki,0
0,225,哈哈哈哈他一站起来我爆笑哈哈哈哈,初夏微光,0
6,225,哈哈哈哈笑死我了,,0
0,225,啊啊啊,Mi Manchi,0
0,225,哈哈哈哈他一站起来我爆笑哈哈哈哈,木木🌺,0
2,225,请多给我们徐律镜头,北往,7
1,225,笑死我了，范丞丞衣服上下半截差距也太大了,,0
0,225,还是有何老师节目效果才拉满,,0
0,225,哈哈哈,,0
2,225,又来了,,0
0,225,别请这种新人，感觉毫无文化,Time tries truth,0
0,225,徐律徐律 爱了爱了,Apple Chen,0
2,225,双北最近天天在一块吧！哈哈哈哈,hh,0
5,225,撒撒xswl,,1
5,225,这没站起来挺好的，一站起来哈哈哈,,4
0,225,坐着看是件普通西服，没想到站起来这么与众不同🤣,A👗小白家,0
0,225,哈哈哈哈哈 以为是件普通西装,带土.,0
4,225,周深深,,0
0,225,坐着看是件普通西服，没想到站起来这么与众不同🤣,陌上花开,0
0,225,这衣服站起来 真的瞬间和坐着的感觉太不一样了……,葡萄汁儿,0
0,225,炅炅和撒老师应该是明侦和offer一起录的吧,朝月,0
0,225,深深宝宝,五花肉末,0
0,225,神仙穿搭，桌面和桌下两极分化🤣,红尘·过客,0
0,225,深深啊啊啊啊,,2
0,225,哈哈哈哈丞丞好可爱,,0
1,225,要被丞丞笑死了,Adam.,1
1,225,谐音梗扣钱哈哈哈哈哈哈哈哈哈,xxxx.,0
0,225,嚯哈哈哈哈哈哈哈哈哈撒老师一如既往的搞笑,触发,0
3,225,范丞丞   爱你呀,,0
3,225,撒撒一如既往的搞笑,,2
1,225,小深总需要招新吗？我能提包能安保还特别凶,葳葳,3
0,225,范丞丞好可爱啊,,0
5,225,我来了,嗯额,0
0,225,请多给我们徐律镜头,-,0
1,225,人见人爱范丞丞,,1
2,225,[喜欢]周深,丫丫,1
0,225,深深啊！！,薄荷之夏,0
5,225,要被丞丞笑死了,,3
0,225,听到这个节目有周深就立马来了,srain.,7
0,225,深深啊！！,安心。,0
4,225,这就是艺人的表达能力,,0
4,225,这衣服站起来 真的瞬间和坐着的感觉太不一样了……,,9
2,225,深深！,,0
1,225,害，我就是来看我双北CP的,Garbage.,1
4,225,双北还不搜证吗,冰冻寒月,3
0,225,为了周深来,🐷,0
0,225,深深啊！！,Euphoria❤,0
4,225,啊深深,小叶子🍃,1
1,225,范丞丞喜剧人,,1
4,225,深深深深深深啊啊啊啊双厨狂喜,,1
0,225,优秀了范丞丞,,0
1,225,深深好棒,汇润烟酒行@羽儿（品质保证）,0
0,225,坐着的时候范泽言站起来秒变福西西哈哈哈哈哈,  Knight,0
1,225,周深深,みやび  MIYABI,0
1,225,令人沮丧的offer,狼,0
1,225,深深深深深深,米呀,1
0,225,啊深深,安心。,0
2,225,深深好乖啊,雨笙,0
5,225,深深啊！！,,1
0,225,周深是个什么击八,自在,0
0,225,要被丞丞笑死了,陌上花开,0
2,225,深深大宝贝！！！！,,2
0,225,啊深深,,0
0,225,只有范丞丞没站起来…,林仙浪啊,1
1,225,深深好乖啊,,0
0,225,深深好好学习，明年回来控场的时候会感谢现在的自己,念念不忘，终有回响,0
1,225,我也有一个老板梦,,0
0,225,欢迎深深,,0
3,225,深深,深米,0
6,225,欢迎深深,,0
4,225,撒老师除了在央视都是个沙雕哈哈哈哈哈哈哈哈哈哈哈哈,,0
0,225,坐着看是件普通西服，没想到站起来这么与众不同🤣,将离.,0
0,225,深深好乖啊,安心。,0
1,225,深深,骷髅宫声线,0
0,225,范丞丞好可爱啊,,0
1,225,深深深深深深,,0
1,225,深深深深深深深,a涵淇,0
1,225,深深大宝贝！！！！,,0
0,225,周深！！！！！！！！,LEMON,0
0,225,深深深深深深深,,0
0,225,总在裁哈哈哈哈,,0
1,225,哇  深深,,0
0,225,深深深深！！！,河小伐🌊,0
0,225,深深好棒,,1
0,225,周深,安心。,0
0,225,深深深深深深,过期牛奶,1
6,225,周深站起来和坐下没差多少（狗头表情）,,3
5,225,周深是很谦虚又很努力好孩纸,老祝,0
0,225,撒煎饼 周果子🤣,,0
2,225,深深好乖啊,哈哈哈,1
0,225,不想当老板的爱豆不是好演员,将离.,0
1,225,周深！！！！！,,0
5,225,来了，第2季了,Madeline,0
0,225,坐着看是件普通西服，没想到站起来这么与众不同🤣,Multipotenialite,0
0,225,请多给我们徐律镜头,稀饭🌟,0
0,225,这看起来好没文化啊,Blue💙,0
4,225,深深好小只,,2
1,225,深深来了,a涵淇,0
1,225,深深！！！！！,,0
0,225,深深你好呀,安心。,0
0,225,挖了半天终于找到深深,decade,0
3,225,啊啊啊,,0
0,225,深深大宝贝！！！！,龙の猫,2
1,225,深深大宝贝！！！！,错雨,0
1,225,深深！,,0
1,225,周深让我心动,汇润烟酒行@羽儿（品质保证）,0
2,225,深深,,1
6,225,深深深深深深深深深深,,0
0,225,周深我们来了,🐷,0
3,225,宝贝深深，哇啊[鸡腿][鸡腿][鸡腿][鸡腿][鸡腿],,9
3,225,徐律的镜头好少啊啊啊啊啊,,12
3,225,周深！！！！！！！！,,1
1,225,喔哦,双叶树草,0
0,225,这一季的嘉宾都太让人喜欢了😘,将离.,0
3,225,啊深深,兰花.,0
0,225,爱死了这期的嘉宾，可爱深+憨憨丞。,哎呀。,0
0,225,深深深深深深,安心。,0
1,225,周深周深周深周深周深周深,,2
3,225,深深深深深深深深深深,兰花.,0
1,225,小周深加油加油,,0
0,225,周深！！！！！！！！,球球✨,0
4,225,深深深深深深深深深深,,0
5,225,深深爱看面试哈哈,,2
1,225,深深好帅,,1
2,225,深深各种综艺各种有[超越][超越][超越][超越],,0
0,225,我也是第一季的忠实观众，何运晨太喜欢了,,3
1,225,深深我来咯,青梨,0
6,225,周深让我心动,,0
0,225,深深~,,0
0,225,深深,,0
3,225,深深深深,我是谁你还不知道吗,1
3,225,深深！！！！！,,0
0,225,二季终于来了！！,知足常乐,1
4,225,爱深深,,2
0,225,深深好乖啊,ᯤ⁶ᴳ⁺,0
1,225,深深好可爱的一小只,a涵淇,1
0,225,坐着看是件普通西服，没想到站起来这么与众不同🤣,Flash,0
0,225,深深深深深深深,,0
4,225,爱深深,星晴,0
0,225,丞丞加油加油,燕子飞 💋,0
5,225,深深！！！！！我也是第一季的粉丝呢😋,,1
0,225,呵呵，范丞丞,丁玲,0
3,225,深深~,,1
0,225,深深可爱,,3
1,225,深深看的真情实感呀,青梨,1
4,225,深深来了,,1
4,225,真情实感,,1
1,225,丞丞丞丞丞丞丞丞,,0
0,225,深深好可爱的一小只,安心。,0
1,225,何运晨看到我了吗,^O^,15
0,225,徐律刚刚的镜头美到我了！,A.X.Y,0
0,225,徐老师,不爱可乐.,1
2,225,深深宝贝,哈哈哈,5
3,225,深深一起学习进修,,0
0,225,深深深深深深深,,1
4,225,周深,君,0
0,225,范丞丞,易水寒int,0
1,225,年更up,安尔丽丝,0
0,225,第一季都是谁，想不起来了,H. En,1
1,225,来了，第2季了,,0
6,225,深深来啦,,0
1,225,啊深深,,2
3,225,周深让我心动,,0
5,225,想知道何运晨现在的情况 何老师能告知一下么,琳琳,6
1,225,深深深深来了来了来了,,1
0,225,徐律的镜头好少啊啊啊啊啊,,0
5,225,深深爱看面试哈哈,,0
2,225,深深深深来了来了来了,,1
1,225,深深大宝贝！！！！,青梨,1
0,225,喜欢周深呐。,,0
0,225,周深让我心动,,0
4,225,求你快去练歌吧别老来综艺啊！,Lilith大王,1
0,225,何炅怎么不去芒果丅 v了？,,0
0,225,周深,🐷,0
5,225,徐律！！,Mim🧸,2
5,225,员工都不会当还学当老板,lanslot,0
4,225,周深好认真去,,0
0,225,周深,,0
0,225,深深好会说话，情商好高,玲珑草🍀,1
0,225,很棒深深 这个态度着装都很得体,Vanyi,1
0,225,深深来啦,,0
2,225,周深周深周深周深周深周深,桉.敏.帆15913489013,0
0,225,徐律，徐律，徐律！！！！,R🍬,0
0,225,周深的发言与fcc的一对比 感觉对fcc没眼看,鲸,0
1,225,深深深深深深深,&,0
5,225,周深长得好漂亮啊,,0
0,225,徐律师好美好有魅力,有事打扣,0
2,225,深深又开始紧张了哈哈哈哈,,1
3,225,卡在奇怪的地方,,0
3,225,深深看的真情实感呀,,0
1,225,21.9.4,初野,0
2,225,深深啊 ,,0
6,225,深深深深深深深,,0
5,225,丞丞的拍手好可爱,小英 🍰🍪🍬,0
0,225,深深！！！！！！,星星闪闪,0
3,225,上半身和下面完全不一样,四季,0
2,225,徐律好好看！！,叶子,0
1,225,撒撒是常驻嘉宾吗,Lucky,0
4,225,范丞丞范丞丞,👤,0
1,225,深深宝,,0
1,225,何运晨看到我了吗,慕秦思贤,0
0,225,徐律,小林子,0
0,225,徐律刚刚的镜头美到我了！,S o n g、,0
4,225,hhh,,0
3,225,爱徐律,,0
0,225,深深我来啦,,0
4,225,徐律师,白旭,0
0,225,徐律,员笑笑,0
0,225,周深长得好漂亮啊,千羽,1
6,15,也就是做节目，现实怎么可能这么回答,,0
6,15,大三考研？,,0
6,15,面试这么说？搞笑,,0
0,15,深深,,0
6,15,偏执,天楽,0
2,15,滴滴滴,神经蛙,0
0,15,有点邪,未来ちゃん,0
3,15,小姐姐是来找辩论点的吧,超聪明的我,0
0,15,哈哈哈哈哈可爱,Monsoon,0
0,15,看了医学篇来的,YJ,0
0,15,法律硕士就是专硕,YJ,0
